dataID	context	indices_target_token	indices_target_sentence	lemma
841_(Psalm 118:24)	"This is the day that the Lord has made; let us rejoice and be glad in it." Each day is a gift and an opportunity to pursue success.	1:73	0:132	This is the day that the Lord has made; let us rejoice and be glad in it
842_(Psalm 118:24)	"This is the day that the Lord has made; let us rejoice and be glad in it." Good morning! Today is a new day and a new opportunity to rejoice and be glad. Make the most of it!	1:73	0:175	This is the day that the Lord has made; let us rejoice and be glad in it
843_(Psalm 118:24)	Happy Friday! "This is the day that the Lord has made; let us rejoice and be glad in it." Our time is limited. Let's rejoice in each day we get, in every aspect of who we are, & in everything that we do have as precious gifts from God! GOD LOVES YOU!! â¤ #God	15:87	0:258	This is the day that the Lord has made; let us rejoice and be glad in it
844_(Psalm 118:24)	There are two great days in a person's life-the day we are born & the day we discover why. Celebrating your birthday means you just don't get older, you exactly get better ğŸ™ "This is the day that the Lord has made; let us rejoice and be glad in it."	175:247	0:249	This is the day that the Lord has made; let us rejoice and be glad in it
845_(Psalm 118:24)	HELLO TUESDAY! "This is the day that the Lord has made; let us rejoice and be glad in it." You're filled with overflowing & uncontainable joy, you walk in the power of the Holy Spirit, because you're abundantly helped. Amen! Do have a Great Tuesday!	16:88	0:249	This is the day that the Lord has made; let us rejoice and be glad in it
846_(Psalm 118:24)	"This is the day that the Lord has made; let us rejoice and be glad in it." Our hearts were filled with joy and thankfulness as we broke ground for our expansion project at Calvary!	1:73	0:181	This is the day that the Lord has made; let us rejoice and be glad in it
847_(Psalm 118:24)	This is the day the LORD has made; Let us rejoice and be glad in it! Have a great week everybody - Choose Joy, choose Peace, choose to Love & Be Kind - Help where ever You can & be good to yourself and to those you cross path with!	0:67	0:231	This is the day that the Lord has made; let us rejoice and be glad in it
848_(Psalm 118:24)	"This is the day that the Lord has made; let us rejoice and be glad in it." Welcome to Koinonia! Get ready for an outpouring of healing, restoration and encounter with God. Open up your heart to receive all that He has in store for you.	1:73	0:236	This is the day that the Lord has made; let us rejoice and be glad in it
849_(Psalm 118:24)	Sunday blessings to all! ğŸ™ Let us embrace this day with gratitude and reflect on the words of Psalm 118:24 - "This is the day that the Lord has made; let us rejoice and be glad in it."	110:182	0:184	This is the day that the Lord has made; let us rejoice and be glad in it
850_(Psalm 118:24)	"This is the day that the Lord has made; let us rejoice and be glad in it." Be blessed all of you my family of friends! You are treasured!	1:73	0:138	This is the day that the Lord has made; let us rejoice and be glad in it
851_(Psalm 118:24)	"This is the day that the LORD has made; let us rejoice and be glad in it." I agree I usually like Sundays better than other days. But every day is a day when I want to exalt God, exposit the Word, extol the Son, encourage the saints, and evangelize the lost.	1:73	0:259	This is the day that the Lord has made; let us rejoice and be glad in it
852_(Psalm 118:24)	Good morning people of God! Thank you Lord for another day to praise you - âœ ğŸ•Š ğŸ“– "This is the day the Lord has made; let us rejoice and be glad in it."	82:149	0:151	This is the day that the Lord has made; let us rejoice and be glad in it
853_(Psalm 118:24)	Happy #BlessedFriday! May your day be filled with the joy and grace of the Lord. "This is the day that the Lord has made; let us rejoice and be glad in it." Remember, His love and blessings are everlasting. Have a blessed weekend ahead! ğŸ™ğŸ¼ â¤ 	82:154	0:242	This is the day that the Lord has made; let us rejoice and be glad in it
854_(Psalm 118:24)	Rejoice in the #FridayFeeling! reminds us, "This is the day that the Lord has made; let us rejoice and be glad in it." Embrace the gift of today, spreading love and kindness wherever you go. Let your light shine bright! ğŸ™Œ â¤ 	44:116	0:224	This is the day that the Lord has made; let us rejoice and be glad in it
855_(Psalm 118:24)	Message to my son Awesome and children to come. This is the day that the Lord has made; let us rejoice and be glad in it. Remember, I love you and I am proud of you.	48:120	0:165	This is the day that the Lord has made; let us rejoice and be glad in it
856_(Psalm 118:24)	Well, took a jump from 15,000 feet with my son! Here's a SHORT version of the jump. Best thing we ever did! This is the day that the Lord has made; let us rejoice and be glad in it	108:180	0:180	This is the day that the Lord has made; let us rejoice and be glad in it
857_(Psalm 118:24)	The Bible says: This is the day that the Lord has made; let us rejoice and be glad in it. That is a great gift that God gives us! Thank you God for your great love! Let's all enjoy together in harmony and meditate on the word of God! ğŸ™Œ â¤ ğŸ¶ ğŸ˜	16:88	0:241	This is the day that the Lord has made; let us rejoice and be glad in it
858_(Psalm 118:24)	This is the day that the Lord has made; let us rejoice and be glad in it. Sunday is a day for self-reflection and prayer. Then, spend time to refuel your soul and reflect on your blessings while planning for a productive week ahead. #SpiritualSunday	0:72	0:249	This is the day that the Lord has made; let us rejoice and be glad in it
859_(Psalm 118:24)	"This is the day that the Lord has made; let us rejoice and be glad in it." Praying you have a blessed Sunday worshipping the Lord with your church family ğŸ¤	1:73	0:156	This is the day that the Lord has made; let us rejoice and be glad in it
860_(Psalm 118:24)	The morning and the day are upon us. How will it unfold? According to the Psalmist, "This is the day that the Lord has made; let us rejoice and be glad in it." If we listen closely to the Psalmist, both in attitude and action, blessings will be upon us. #blessings	85:157	0:264	This is the day that the Lord has made; let us rejoice and be glad in it
861_(Psalm 118:24)	Wishing everyone a blessed Sunday filled with joy, peace, love and divine favor! May your day be illuminated by the Word of God , uplift your spirit: "This is the day that the LORD has made; let us rejoice and be glad in it." âœ¨ ğŸ™ âœ #SundayBlessings #JoyfulHeart	151:223	0:261	This is the day that the Lord has made; let us rejoice and be glad in it
862_(Psalm 118:24)	"This is the day that the LORD has made; let us rejoice and be glad in it." Let these profound words resonate within your very being. Embrace the truth that each day is a precious gift lovingly bestowed upon us by our Heavenly Father, brimming with opportunity for joy, growth and boundless gratitude. Blessed sunday.	1:73	0:317	This is the day that the Lord has made; let us rejoice and be glad in it
863_(Psalm 118:24)	Good morning, beloved ones! Psalm 118:24 declares that this is the day that the Lord has made; let us rejoice and be glad in it. This is your season to embrace joy, success, contentment, and happiness. Celebrate each moment, for blessings abound. Rejoice, for you are loved. ğŸŒ ğŸ’–	55:127	0:278	This is the day that the Lord has made; let us rejoice and be glad in it
864_(Psalm 118:24)	This is the day that the Lord has made; let us rejoice and be glad in it. I spent this morning by myself enjoying this sunrise at the Grand Canyon, and I felt like He made it just for me. ğŸ™ğŸ¼	0:72	0:190	This is the day that the Lord has made; let us rejoice and be glad in it
865_(Psalm 118:24)	Happy Month to you all. "This is the day that the Lord has made; let us rejoice and be glad in it." May joy and happiness fill your hearts. Together, let's create moments worth cherishing and spread love, peace and joy. Jesus loves you! 	25:97	0:237	This is the day that the Lord has made; let us rejoice and be glad in it
866_(Psalm 118:24)	"This is the day that the LORD has made; let us rejoice and be glad in it." Explore the depths of God's Word every day and today. Try it now with our http://Biblebot.io	1:73	0:168	This is the day that the Lord has made; let us rejoice and be glad in it
867_(Psalm 118:24)	This is the day that the Lord has made; let us rejoice and be glad in it. The beauty of today is not that it is new, but that we are being made new. The glory of the day is not that it marks a change, but that we are being changed. May you flourish. God bless NigeriağŸ‡³ğŸ‡¬	0:72	0:269	This is the day that the Lord has made; let us rejoice and be glad in it
868_(Psalm 118:24)	Nothing but the light splashing of the waves, the doves, and a few other birds saying Good Morning. "This is the day that the Lord has made; let us rejoice and be glad in it." Rejoice - choose joy	101:173	0:196	This is the day that the Lord has made; let us rejoice and be glad in it
869_(Psalm 118:24)	Good Sunday morning! Embrace this day with gratitude and joy. Psalm 118:24: "This is the day the Lord has made; let us rejoice and be glad in it." May your day be blessed and filled with worship. Have a wonderful Sunday! ğŸŒ ğŸ™	77:144	0:224	This is the day that the Lord has made; let us rejoice and be glad in it
870_(Psalm 118:24)	Good morning Patriots â˜• Happy Memorial Day weekendğŸ‡ºğŸ‡¸ Enjoy your day with faith and love. "This is the day that the Lord has made; let us rejoice and be glad in it."	90:162	0:164	This is the day that the Lord has made; let us rejoice and be glad in it