instanceID	label	comment	annotator
pair_a_(Philippians 4:13)	4		iosakwe
pair_b_(Job 1:1)	-		iosakwe
pair_c_(Job 1:1)	2		iosakwe
pair_d_(1 Peter 4:7)	3		iosakwe
pair_e_(Job 1:1)	4		iosakwe
pair_f_(Zechariah 10:1)	4		iosakwe
pair_g_(Proverbs 1:8)	3		iosakwe
pair_h_(Zechariah 10:1)	3		iosakwe
pair_i_(1 Peter 4:7)	2		iosakwe
pair_l_(Matthew 5:9)	2		iosakwe
pair_m_(Luke 24:15)	4		iosakwe
pair_n_(1 Peter 4:7)	2		iosakwe
pair_o_(Luke 24:15)	3		iosakwe
pair_p_(1 Timothy 6:10)	4		iosakwe
pair_q_(Luke 24:15)	1		iosakwe
pair_r_(Zechariah 10:1)	3		iosakwe
pair_s_(Matthew 5:9)	2		iosakwe
pair_t_(Song of songs 8:6)	4		iosakwe
pair_u_(Proverbs 1:8)	3		iosakwe
pair_v_(Revelation 12:3)	3		iosakwe
pair_z_(Proverbs 1:8)	3		iosakwe
pair_k_(Matthew 5:9)	4		iosakwe
pair_w_(Song of songs 8:6)	3		iosakwe
pair_j_(Matthew 6:9)	4		iosakwe
pair_x_(Mark 11:24)	3		iosakwe
pair_a_(Philippians 4:13)	3		AndreaMariaC
pair_b_(Job 1:1)	1		AndreaMariaC
pair_c_(Job 1:1)	1		AndreaMariaC
pair_d_(1 Peter 4:7)	3		AndreaMariaC
pair_e_(Job 1:1)	4		AndreaMariaC
pair_f_(Zechariah 10:1)	4		AndreaMariaC
pair_g_(Proverbs 1:8)	4		AndreaMariaC
pair_h_(Zechariah 10:1)	3		AndreaMariaC
pair_i_(1 Peter 4:7)	3		AndreaMariaC
pair_l_(Matthew 5:9)	3		AndreaMariaC
pair_m_(Luke 24:15)	4		AndreaMariaC
pair_n_(1 Peter 4:7)	2		AndreaMariaC
pair_o_(Luke 24:15)	3		AndreaMariaC
pair_p_(1 Timothy 6:10)	4		AndreaMariaC
pair_q_(Luke 24:15)	4		AndreaMariaC
pair_r_(Zechariah 10:1)	4		AndreaMariaC
pair_s_(Matthew 5:9)	1		AndreaMariaC
pair_t_(Song of songs 8:6)	3		AndreaMariaC
pair_u_(Proverbs 1:8)	2		AndreaMariaC
pair_v_(Revelation 12:3)	1		AndreaMariaC
pair_z_(Proverbs 1:8)	2		AndreaMariaC
pair_k_(Matthew 5:9)	3		AndreaMariaC
pair_w_(Song of songs 8:6)	1		AndreaMariaC
pair_j_(Matthew 6:9)	4		AndreaMariaC
pair_x_(Mark 11:24)	3		AndreaMariaC
pair_a_(Philippians 4:13)	4		shur
pair_b_(Job 1:1)	1		shur
pair_c_(Job 1:1)	1		shur
pair_d_(1 Peter 4:7)	3		shur
pair_e_(Job 1:1)	4		shur
pair_f_(Zechariah 10:1)	3		shur
pair_g_(Proverbs 1:8)	3		shur
pair_h_(Zechariah 10:1)	4		shur
pair_i_(1 Peter 4:7)	1		shur
pair_l_(Matthew 5:9)	2		shur
pair_m_(Luke 24:15)	3		shur
pair_n_(1 Peter 4:7)	3		shur
pair_o_(Luke 24:15)	4		shur
pair_p_(1 Timothy 6:10)	4		shur
pair_q_(Luke 24:15)	4		shur
pair_r_(Zechariah 10:1)	3		shur
pair_s_(Matthew 5:9)	1		shur
pair_t_(Song of songs 8:6)	4		shur
pair_u_(Proverbs 1:8)	4		shur
pair_v_(Revelation 12:3)	1		shur
pair_z_(Proverbs 1:8)	4		shur
pair_k_(Matthew 5:9)	4		shur
pair_w_(Song of songs 8:6)	3		shur
pair_j_(Matthew 6:9)	4		shur
pair_x_(Mark 11:24)	3		shur
pair_a_(Philippians 4:13)	2		Nisha
pair_b_(Job 1:1)	2		Nisha
pair_c_(Job 1:1)	3		Nisha
pair_d_(1 Peter 4:7)	4		Nisha
pair_e_(Job 1:1)	4		Nisha
pair_f_(Zechariah 10:1)	3		Nisha
pair_g_(Proverbs 1:8)	4		Nisha
pair_h_(Zechariah 10:1)	3		Nisha
pair_i_(1 Peter 4:7)	1		Nisha
pair_l_(Matthew 5:9)	2		Nisha
pair_m_(Luke 24:15)	4		Nisha
pair_n_(1 Peter 4:7)	2		Nisha
pair_o_(Luke 24:15)	4		Nisha
pair_p_(1 Timothy 6:10)	3		Nisha
pair_q_(Luke 24:15)	3		Nisha
pair_r_(Zechariah 10:1)	3		Nisha
pair_s_(Matthew 5:9)	2		Nisha
pair_t_(Song of songs 8:6)	2		Nisha
pair_u_(Proverbs 1:8)	3		Nisha
pair_v_(Revelation 12:3)	2		Nisha
pair_z_(Proverbs 1:8)	4		Nisha
pair_k_(Matthew 5:9)	4		Nisha
pair_w_(Song of songs 8:6)	1		Nisha
pair_j_(Matthew 6:9)	3		Nisha
pair_x_(Mark 11:24)	4		Nisha